type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577343877,4.982500,12.170000,156.335876,779.236633,-55,0,0,-1
power_sample,2,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577443602,4.991250,13.182500,141.874802,708.396912,-57,1,3577367208,76394
power_sample,3,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577543493,5.200000,6.202500,64.683968,324.885498,-53,1,3577367208,176285
power_sample,4,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577643466,5.207500,5.000000,64.683968,337.099213,-56,1,3577367208,276258
power_sample,5,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577743453,5.196250,4.955000,64.781670,337.099213,-57,1,3577367208,376245
power_sample,6,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577843471,5.193750,5.782500,65.856483,339.541962,-56,1,3577367208,476263
power_sample,7,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3577943456,5.215000,5.145000,64.683968,339.541962,-58,1,3577367208,576248
power_sample,8,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578043513,5.207500,5.050000,64.879387,337.099213,-58,1,3577367208,676305
power_sample,9,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578143475,5.196250,5.505000,64.586258,337.099213,-57,1,3577367208,776267
power_sample,10,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578243444,4.990000,8.602500,136.305328,449.465637,-58,1,3577367208,876236
power_sample,11,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578343473,5.197500,5.027500,66.442741,349.312958,-57,1,3577367208,976265
power_sample,12,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578443453,5.195000,5.065000,64.683968,337.099213,-58,1,3577367208,1076245
power_sample,13,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578543453,5.182500,5.852500,64.781670,337.099213,-59,1,3577367208,1176245
power_sample,14,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578643435,5.212500,5.055000,64.683968,337.099213,-56,1,3577367208,1276227
power_sample,15,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578743491,5.197500,5.162500,64.683968,337.099213,-63,1,3577367208,1376283
power_sample,16,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578843494,5.191250,5.720000,68.299232,356.641205,-53,1,3577367208,1476286
power_sample,17,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3578943466,5.212500,6.462500,64.683968,339.541962,-55,1,3577367208,1576258
power_sample,18,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579043427,5.197500,5.082500,64.683968,337.099213,-56,1,3577367208,1676219
power_sample,19,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579143444,5.201250,5.222500,64.586258,337.099213,-58,1,3577367208,1776236
power_sample,20,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579243429,4.986250,6.985000,136.598465,363.969452,-56,1,3577367208,1876221
power_sample,21,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579343445,5.196250,5.147500,64.683968,337.099213,-55,1,3577367208,1976237
power_sample,22,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579443440,5.196250,5.137500,64.683968,337.099213,-56,1,3577367208,2076232
power_sample,23,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579543435,5.147500,13.362499,64.781670,332.213715,-60,1,3577367208,2176227
power_sample,24,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579643466,5.171250,6.470000,64.683968,337.099213,-59,1,3577367208,2276258
power_sample,25,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579743444,5.215000,5.162500,64.781670,339.541962,-57,1,3577367208,2376236
power_sample,26,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579843459,5.193750,5.420000,66.638161,344.427460,-56,1,3577367208,2476251
power_sample,27,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3579943504,5.210000,6.292500,64.781670,327.328247,-56,1,3577367208,2576296
power_sample,28,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3580043471,5.197500,4.907500,64.683968,337.099213,-58,1,3577367208,2676263
power_sample,29,W2_wifi_periodic_5s_quiet_telemetry_v2_rep7,3580143475,5.195000,5.020000,64.683968,337.099213,-59,1,3577367208,2776267
