type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1871001256,-37
event,2,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1871489805,-38
event,3,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1871989811,-38
event,4,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1872489794,-38
event,5,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1872989813,-38
event,6,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1873489755,-38
event,7,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1873989828,-38
event,8,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1874489796,-38
event,9,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1874989811,-38
event,10,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1875489799,-38
event,11,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1875989824,-39
event,12,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1876489825,-38
event,13,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1876989778,-38
event,14,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1877489829,-39
event,15,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1877989778,-38
event,16,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1878489826,-39
event,17,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1878989826,-34
event,18,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1879489807,-37
event,19,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1879989782,-38
event,20,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1880489816,-37
event,21,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1880989843,-38
event,22,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1881489798,-38
event,23,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1881989809,-37
event,24,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1882489830,-37
event,25,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1882989830,-37
event,26,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1883489817,-37
event,27,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1883989787,-37
event,28,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1884489345,-37
event,29,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1884989821,-37
event,30,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1885489383,-37
event,31,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1885989807,-37
event,32,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1886489400,-37
event,33,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1886989790,-37
event,34,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1887489824,-37
event,35,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1887989827,-37
event,36,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1888489818,-38
event,37,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1888989798,-37
event,38,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1889489821,-38
event,39,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1889989827,-37
event,40,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1890489820,-37
event,41,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1890989829,-37
event,42,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1891489837,-37
event,43,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1891989831,-38
event,44,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1892489853,-37
event,45,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1892989758,-37
event,46,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1893489807,-37
event,47,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1893989829,-37
event,48,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1894489842,-37
event,49,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1894989811,-37
event,50,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1895489790,-37
event,51,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1895989796,-38
event,52,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1896489748,-36
event,53,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1896989842,-37
event,54,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1897489806,-37
event,55,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1897989800,-37
event,56,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1898489803,-37
event,57,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1898989779,-37
event,58,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1899489781,-37
event,59,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1899989828,-37
event,60,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1900489803,-37
event,61,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1900989799,-33
event,62,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1901489801,-37
event,63,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1901989842,-37
event,64,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1902489790,-38
event,65,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1902989785,-38
event,66,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1903489821,-37
event,67,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1903989812,-38
event,68,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1904489768,-38
event,69,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1904989788,-38
event,70,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1905489822,-37
event,71,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1905989814,-37
event,72,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1906489839,-38
event,73,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1906989818,-38
event,74,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1907489838,-37
event,75,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1907989370,-38
event,76,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1908489806,-38
event,77,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1908989367,-37
event,78,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1909489832,-37
event,79,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1909989374,-38
event,80,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1910489788,-38
event,81,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1910990252,-38
event,82,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1911489811,-38
event,83,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1911989824,-38
event,84,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1912489778,-38
event,85,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1912989776,-37
event,86,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1913489809,-37
event,87,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1913989790,-38
event,88,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1914489797,-37
event,89,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1914989793,-38
event,90,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1915489819,-37
event,91,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1915989829,-38
event,92,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1916489782,-38
event,93,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1916989782,-38
event,94,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1917489810,-38
event,95,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1917989774,-37
event,96,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1918489784,-38
event,97,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1918989793,-38
event,98,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1919489812,-38
event,99,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1919989777,-38
event,100,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1920489756,-37
event,101,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1920989790,-37
event,102,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1921489809,-38
event,103,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1921989835,-37
event,104,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1922489817,-38
event,105,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1922989767,-38
event,106,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1923489820,-37
event,107,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1923989788,-38
event,108,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1924489825,-38
event,109,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1924989789,-38
event,110,W2_wifi_periodic_500ms_quiet_telemetry_v2_rep9,periodic,1925489809,-38
